user_id,checkin_time,continuous_days
???,2025-06-20 13:57:58,1
ツ,2025-06-20 14:00:08,1
Gesla,2025-06-20 14:15:21,1
???,2025-06-22 14:23:32,1
Gesla,2025-06-22 14:24:30,1
ツ,2025-06-22 14:24:35,1
???,2025-06-23 09:05:04,2
ツ,2025-06-23 09:05:12,2
Gesla,2025-06-23 09:05:17,2
???,2025-06-24 07:53:55,3
ツ,2025-06-24 07:54:23,3
Gesla,2025-06-24 07:59:43,3
???,2025-06-25 08:14:43,4
Gesla,2025-06-25 08:23:56,4
ツ,2025-06-25 08:50:30,4
???,2025-06-26 07:52:48,5
Gesla,2025-06-26 08:06:43,5
ツ,2025-06-26 08:30:43,5
???,2025-06-27 07:56:08,6
ツ,2025-06-27 07:56:18,6
Gesla,2025-06-27 08:06:57,6
???,2025-06-30 08:59:10,1
